size_of_warp,time_seq,time_par,threads
16500,0.971075,1.440628,4
16600,1.0014889999999999,1.461382,4
16700,0.9945639999999999,1.425216,4
16800,1.0055,1.425467,4
16900,1.026958,1.475905,4
17000,1.035588,1.478248,4
17100,1.051996,1.496174,4
17200,1.048152,1.5108030000000001,4
17300,1.0742209999999999,1.548017,4
17400,1.08913,1.549258,4
17500,1.105409,1.6461009999999998,4
17600,1.10758,1.58215,4
17700,1.1226639999999999,1.58104,4
17800,1.137497,1.575919,4
17900,1.143263,1.588573,4
18000,1.165651,1.607219,4
18100,1.1667040000000002,1.615997,4
18200,1.180564,1.651905,4
18300,1.173519,1.6451360000000002,4
18400,1.205618,1.6646310000000002,4
18500,1.216106,1.6750169999999998,4
18600,1.244708,1.6919240000000002,4
18700,1.245174,1.6962110000000001,4
18800,1.280791,1.763782,4
18900,1.2755319999999999,1.7473740000000002,4
19000,1.2840799999999999,1.734482,4
19100,1.310087,1.772703,4
19200,1.308198,1.80335,4
19300,1.333008,1.7722900000000001,4
19400,1.338267,1.8135880000000002,4
19500,1.357517,1.85085,4
19600,1.359791,1.856825,4
19700,1.403824,1.863645,4
19800,1.409353,1.9220669999999997,4
19900,1.403943,1.858177,4
20000,1.405262,1.8730900000000001,4
