size_of_warp,time_seq,time_par,threads
16400,0.9590780000000001,0.7750020000000001,2
16500,0.9579190000000001,0.781443,2
16600,0.9721139999999999,0.787784,2
16700,0.9895219999999999,0.800028,2
16800,0.994401,0.809344,2
16900,1.0044520000000001,0.8253940000000001,2
17000,1.027863,0.829184,2
17100,1.035042,0.836324,2
17200,1.072834,0.9066129999999999,2
17300,1.0643,0.8705950000000001,2
17400,1.075091,0.866445,2
17500,1.089834,0.870704,2
17600,1.107682,0.901027,2
17700,1.1104450000000001,0.883602,2
17800,1.121328,0.8952399999999999,2
17900,1.13919,0.921659,2
18000,1.140066,0.919143,2
18100,1.14754,0.941897,2
18200,1.165327,0.9390129999999999,2
18300,1.186741,0.949304,2
18400,1.1964059999999999,0.962089,2
18500,1.2098879999999999,0.9608620000000001,2
18600,1.218805,0.9811469999999999,2
18700,1.2367629999999998,0.9966149999999999,2
18800,1.242783,1.032659,2
18900,1.262381,1.0070569999999999,2
19000,1.266405,1.0214459999999999,2
19100,1.3037299999999998,1.037782,2
19200,1.3003129999999998,1.063065,2
19300,1.318956,1.057784,2
19400,1.327795,1.057292,2
19500,1.383249,1.166882,2
19600,1.360309,1.0938219999999998,2
19700,1.381019,1.107866,2
19800,1.3933520000000001,1.109484,2
19900,1.4197,1.132628,2
20000,1.413707,1.154967,2
